,hl,hr,thetal_radian,thetar_radian,thetal_degree,thetar_degree,center_a,center_b,time
0,0.0,-0.0000910203,1.6406095000,1.0874056000,94.00000017906824,62.303751498890996,-0.0000566758,-0.0007015213721164677,0.0
1,-0.0000027747,-0.0000898011,1.6147023000,1.0845847000,92.51562696006691,62.14212583446253,-0.0000332723,-0.0006471227470869937,0.0001000000
2,-0.0000054378,-0.0000885781,1.5891359000,1.0817586000,91.05078014272364,61.98020223198061,-0.0000130382,-0.0005994294859478271,0.0002000000
3,-0.0000079908,-0.0000873512,1.5659558000,1.0810940000,89.72265824403244,61.94212345691622,0.0000032697,-0.0005628220229738455,0.0003000000
4,-0.0000104437,-0.0000861234,1.5427756000,1.0793247000,88.39453061576329,61.84075003422372,0.0000179874,-0.0005278856730132126,0.0004000000
5,-0.0000127967,-0.0000848932,1.5209590000,1.0786314000,87.14453151243818,61.8010268702873,0.0000306102,-0.0004985876270795599,0.0005000000
6,-0.0000150557,-0.0000836620,1.5005059000,1.0790140000,85.97265520447915,61.822948235529005,0.0000415584,-0.00047392627909824024,0.0006000000
7,-0.0000172266,-0.0000824314,1.4807346000,1.0793793000,84.83984315899214,61.84387838378514,0.0000513812,-0.00045139910196131277,0.0007000000
8,-0.0000193126,-0.0000812012,1.4616451000,1.0808307000,83.74609537597716,61.92703747817042,0.0000603402,-0.0004318171107369649,0.0008000000
9,-0.0000213166,-0.0000799731,1.4439191000,1.0822506000,82.73047038832827,62.00839175550106,0.0000681622,-0.0004143164901853778,0.0009000000
10,-0.0000232446,-0.0000787468,1.4275566000,1.0847412000,81.79296819604545,62.15109262395634,0.0000751254,-0.0003996283039278051,0.0010000000
11,-0.0000251028,-0.0000775240,1.4111941000,1.0872224000,80.85546600376264,62.29325491208419,0.0000817673,-0.0003854859822557483,0.0011000000
12,-0.0000268912,-0.0000763046,1.3961952000,1.0907694000,79.99609233642387,62.49648304201709,0.0000877446,-0.00037373037554705706,0.0012000000
13,-0.0000286158,-0.0000750900,1.3825598000,1.0953775000,79.21484146445118,62.760507723591324,0.0000931603,-0.00036414166922322003,0.0013000000
14,-0.0000302825,-0.0000738817,1.3682427000,1.0988867000,78.39453205958444,62.96157007305864,0.0000984904,-0.00035345734685699284,0.0014000000
15,-0.0000318887,-0.0000726782,1.3559708000,1.1034434000,77.69140398297785,63.2226497515659,0.00010310967939399186,-0.0003452412535297983,0.0015000000
16,-0.0000334431,-0.0000714810,1.3430172000,1.1074504000,76.94921737347718,63.45223394007483,0.00010775368756000447,-0.0003363333821766887,0.0016000000
17,-0.0000349430,-0.0000702893,1.3307454000,1.1114337000,76.24609502644854,63.68046021860929,0.00011204776382973464,-0.0003280555807932043,0.0017000000
18,-0.0000363914,-0.0000691032,1.3198371000,1.1170110000,75.62109547478599,64.0000159696876,0.0001160911863454098,-0.0003219406250107949,0.0018000000
19,-0.0000377942,-0.0000679247,1.3102923000,1.1236308000,75.07421871848952,64.3793025709083,0.0001198429567801134,-0.00031751341542003686,0.0019000000
20,-0.0000391572,-0.0000667554,1.2993840000,1.1280891000,74.44921916682696,64.63474434471148,0.00012356754214020636,-0.00031079694667676715,0.0020000000
21,-0.0000404747,-0.0000655924,1.2898392000,1.1341290000,73.9023424105305,64.98080512339254,0.00012712822798316317,-0.00030610607021608067,0.0021000000
22,-0.0000417527,-0.0000644378,1.2816580000,1.1412031000,73.43359417917806,65.38612119724604,0.00013046648095418163,-0.00030301800555875057,0.0022000000
23,-0.0000429967,-0.0000632930,1.2721132000,1.1466651000,72.88671742288159,65.6990707449465,0.00013385770310911328,-0.0002980456212669356,0.0023000000
24,-0.0000442014,-0.0000621560,1.2639320000,1.1526274000,72.41796919152917,66.04068537113734,0.00013693845485186163,-0.00029431090676856366,0.0024000000
25,-0.0000453724,-0.0000610273,1.2557508000,1.1585709000,71.94922096017673,66.38122283667335,0.00013999959578117345,-0.00029060594201516324,0.0025000000
26,-0.0000465098,-0.0000599071,1.2489331000,1.1660715000,71.5585955241904,66.81097556048917,0.0001430156181741573,-0.0002887928698443059,0.0026000000
27,-0.0000476193,-0.0000587974,1.2421154000,1.1730178000,71.16797008820406,67.2089692337209,0.00014592122779441915,-0.00028665401920850383,0.0027000000
28,-0.0000487009,-0.0000576977,1.2352977000,1.1799416000,70.77734465221772,67.60567375191359,0.00014882847592428703,-0.0002845313646031273,0.0028000000
29,-0.0000497548,-0.0000566077,1.2284800000,1.1863184000,70.38671921623137,67.9710374787126,0.00015161761784680504,-0.0002820873273310122,0.0029000000
30,-0.0000507809,-0.0000555269,1.2216623000,1.1926765000,69.99609378024503,68.33532977443473,0.00015440481705393755,-0.0002796606757306106,0.0030000000
31,-0.0000517793,-0.0000544552,1.2162081000,1.2000495000,69.68359113962478,68.75777155678469,0.0001570981737264358,-0.0002787732455721355,0.0031000000
32,-0.0000527556,-0.0000533941,1.2107540000,1.2073999000,69.37109422858248,69.17891845451764,0.00015980755887612283,-0.0002779048175961268,0.0032000000
33,-0.0000537099,-0.0000523435,1.2052998000,1.2147283000,69.05859158796221,69.59880484510131,0.00016253313886787168,-0.00027705444471558423,0.0033000000
34,-0.0000546423,-0.0000513036,1.1998457000,1.2215172000,68.74609467691992,69.98778016263769,0.00016514526592757115,-0.00027588827128991475,0.0034000000
35,-0.0000555526,-0.0000502735,1.1950733000,1.2287995000,68.47265629877168,70.4050252177858,0.0001677412933448364,-0.0002755143333222405,0.0035000000
36,-0.0000564438,-0.0000492539,1.1896191000,1.2350356000,68.16015365815143,70.76232742840733,0.0001702485146189064,-0.0002740485418846511,0.0036000000
37,-0.0000573132,-0.0000482434,1.1855285000,1.2427904000,67.92577954247521,71.20664473937539,0.000172860210052558,-0.0002744968544358409,0.0037000000
38,-0.0000581661,-0.0000472442,1.1814379000,1.2505240000,67.691405426799,71.64974737981775,0.0001755014772326188,-0.00027497824980612256,0.0038000000
39,-0.0000590028,-0.0000462564,1.1773473000,1.2577251000,67.45703131112279,72.06234001766941,0.00017803219997156462,-0.0002751541060206774,0.0039000000
40,-0.0000598231,-0.0000452790,1.1732567000,1.2649086000,67.22265719544657,72.47392424980164,0.00018058841765538483,-0.0002753578658776318,0.0040000000
41,-0.0000606272,-0.0000443123,1.1691661000,1.2715654000,66.98828307977035,72.85533079486433,0.00018302571537463634,-0.00027524882413551706,0.0041000000
42,-0.0000614150,-0.0000433553,1.1650755000,1.2782077000,66.75390896409414,73.23590655112407,0.0001854844843648673,-0.0002751633542778701,0.0042000000
43,-0.0000621865,-0.0000424082,1.1609848000,1.2848359000,66.51952911883998,73.61567443689269,0.00018796494173751646,-0.0002751012238526618,0.0043000000
44,-0.0000629419,-0.0000414708,1.1582578000,1.2929620000,66.3632835281078,74.08126567079394,0.00019063954072457359,-0.00027706637590554104,0.0044000000
45,-0.0000636865,-0.0000405455,1.1555307000,1.3005637000,66.20703220779767,74.51681099791855,0.00019320473513391025,-0.00027874492882711335,0.0045000000
46,-0.0000644204,-0.0000396315,1.1514401000,1.3066433000,65.97265809212146,74.86514641904628,0.00019561371069713585,-0.0002784234323077861,0.0046000000
47,-0.0000651381,-0.0000387265,1.1487130000,1.3137122000,65.81640677181134,75.27016455484632,0.0001980889167695649,-0.000279832108388752,0.0047000000
48,-0.0000658450,-0.0000378320,1.1459859000,1.3212701000,65.6601554515012,75.70320032682824,0.00020076105484911793,-0.0002816452831596233,0.0048000000
49,-0.0000665413,-0.0000369489,1.1418953000,1.3268129000,65.425781335825,76.02077937351335,0.00020307961832483683,-0.00028104109849939993,0.0049000000
50,-0.0000672214,-0.0000360740,1.1398500000,1.3343418000,65.30859427798688,76.4521535678894,0.00020569215148061998,-0.00028345756566280076,0.0050000000
51,-0.0000678936,-0.0000352104,1.1371229000,1.3411098000,65.15234295767677,76.83993140363393,0.00020822340016507515,-0.0002848644999558637,0.0051000000
52,-0.0000685551,-0.0000343570,1.1343958000,1.3478667000,64.99609163736663,77.22707325622588,0.0002107894025351676,-0.00028631583898134727,0.0052000000
53,-0.0000692059,-0.0000335137,1.1316688000,1.3543637000,64.83984604663445,77.59932393572237,0.00021330343003604318,-0.0002876260338588384,0.0053000000
54,-0.0000698461,-0.0000326802,1.1289417000,1.3606020000,64.68359472632433,77.95675219705883,0.0002157618324363354,-0.0002887898290687671,0.0054000000
55,-0.0000704756,-0.0000318561,1.1262146000,1.3668317000,64.5273434060142,78.31368771469148,0.00021825085171326932,-0.00028999106433586527,0.0055000000
56,-0.0000710945,-0.0000310415,1.1248511000,1.3742891000,64.44922061064813,78.74096526083234,0.00022099798527710178,-0.0002933185914437171,0.0056000000
57,-0.0000717081,-0.0000302381,1.1221240000,1.3802530000,64.29296929033798,79.08267156027041,0.00022346750671536588,-0.0002944235068736243,0.0057000000
58,-0.0000723111,-0.0000294437,1.1193969000,1.3862095000,64.13671797002786,79.4239538709401,0.00022596606480904387,-0.00029556242676412586,0.0058000000
59,-0.0000729035,-0.0000286583,1.1180334000,1.3931440000,64.05859517466178,79.82127145397355,0.00022866163962177182,-0.00029870357789039937,0.0059000000
60,-0.0000734906,-0.0000278835,1.1153063000,1.3985917000,63.90234385435165,80.13340167202698,0.00023103492050574929,-0.00029953328363648923,0.0060000000
